2026-03-25 08:02:18 | INFO     | mangabuff | ======================================================================
2026-03-25 08:02:18 | INFO     | mangabuff | MangaBuff v2.8.1 - Запуск приложения
2026-03-25 08:02:18 | INFO     | mangabuff | ======================================================================
2026-03-25 08:02:18 | INFO     | mangabuff | Уровень логирования: DEBUG
2026-03-25 08:02:18 | INFO     | mangabuff | Debug mode: False | Dry run: False
2026-03-25 08:02:18 | INFO     | mangabuff | Дополнительные вклады: +600 сверх лимита сайта
2026-03-25 08:02:18 | INFO     | mangabuff | ======================================================================
2026-03-25 08:02:18 | INFO     | mangabuff | Инициализация приложения MangaBuff v2.8.1
2026-03-25 08:02:18 | INFO     | mangabuff | ======================================================================
2026-03-25 08:02:18 | INFO     | mangabuff | Rate Limiting: 80 req/min
2026-03-25 08:02:18 | INFO     | mangabuff | Вход в аккаунт...
2026-03-25 08:02:20 | INFO     | mangabuff | Авторизация успешна
2026-03-25 08:02:20 | INFO     | mangabuff | Инициализация менеджера статистики...
2026-03-25 08:02:20 | INFO     | mangabuff | Дополнительные вклады: +600 сверх лимита сайта
2026-03-25 08:02:21 | INFO     | mangabuff | Инициализация монитора истории обменов...
2026-03-25 08:02:21 | INFO     | mangabuff | Монитор истории запущен (проверка каждые 10с)
2026-03-25 08:02:26 | INFO     | mangabuff | Загружено карточек с сервера (без фильтра): 13596
2026-03-25 08:02:26 | INFO     | mangabuff | После фильтрации: 8198 карт. Пропущено 5398: {'X': 22, 'S': 495, 'A': 1019, 'P': 1359, 'G': 1025, 'B': 1302, 'L': 16, 'N': 72, 'H': 28, 'V': 57, 'Q': 3}
2026-03-25 08:02:26 | INFO     | mangabuff | Загружено карточек: 8198
2026-03-25 08:02:26 | DEBUG    | mangabuff | Инвентарь сохранен в файл
2026-03-25 08:02:26 | INFO     | mangabuff | Синхронизация инвентаря с пропарсенными данными...
2026-03-25 08:02:26 | INFO     | mangabuff | Синхронизация завершена успешно
2026-03-25 08:02:26 | INFO     | mangabuff | Загрузка информации о буст-карте...
2026-03-25 08:02:28 | INFO     | mangabuff | Буст-карта загружена: Дюруа и Алиса (ID: 32687)
2026-03-25 08:02:28 | INFO     | mangabuff | ПРОВЕРКА АВТОЗАМЕНЫ ПРИ ЗАГРУЗКЕ КАРТЫ
2026-03-25 08:02:28 | INFO     | mangabuff | Владельцев: 1710, Желающих: 3
2026-03-25 08:02:28 | DEBUG    | mangabuff | Буст-карта сохранена в boost_card.json
2026-03-25 08:02:28 | INFO     | mangabuff | Запуск монитора буста для карты ID: 32687...
2026-03-25 08:02:28 | INFO     | mangabuff | Монитор запущен для карты ID: 32687
2026-03-25 08:02:28 | DEBUG    | mangabuff | Инициализация OwnersProcessor
2026-03-25 08:02:28 | INFO     | mangabuff | Запуск режима обработки владельцев
2026-03-25 08:02:29 | INFO     | mangabuff | ======================================================================
2026-03-25 08:02:29 | INFO     | mangabuff | ПРОВЕРКА АВТОЗАМЕНЫ В ЦИКЛЕ
2026-03-25 08:02:29 | INFO     | mangabuff | Карта: Дюруа и Алиса (ID: 32687)
2026-03-25 08:02:29 | INFO     | mangabuff | Обработка карты: Дюруа и Алиса (ID: 32687)
2026-03-25 08:02:30 | INFO     | mangabuff | Начало обработки владельцев карты 32687
2026-03-25 08:02:31 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=3 (норм: 0)
2026-03-25 08:02:31 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2412
2026-03-25 08:02:31 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 3, normalized: 0)
2026-03-25 08:02:31 | DEBUG    | mangabuff | Парсинг карты: Дермисель (ID: 64472)
2026-03-25 08:02:31 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Дермисель (2 желающих) после 1 проверок
2026-03-25 08:02:32 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=3 (норм: 0)
2026-03-25 08:02:32 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2411
2026-03-25 08:02:32 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 3, normalized: 0)
2026-03-25 08:02:32 | DEBUG    | mangabuff | Парсинг карты: Су Сяо (ID: 53033)
2026-03-25 08:02:33 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Су Сяо (0 желающих) после 1 проверок
2026-03-25 08:02:44 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=3 (норм: 0)
2026-03-25 08:02:44 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2410
2026-03-25 08:02:44 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 3, normalized: 0)
2026-03-25 08:02:45 | DEBUG    | mangabuff | Парсинг карты: Ресилиан (ID: 34801)
2026-03-25 08:02:45 | DEBUG    | mangabuff | Альтернатива обновлена: Ресилиан (26)
2026-03-25 08:02:45 | DEBUG    | mangabuff | Парсинг карты: Вестник Чумы и Тьмы (ID: 73516)
2026-03-25 08:02:45 | DEBUG    | mangabuff | Альтернатива обновлена: Вестник Чумы и Тьмы (11)
2026-03-25 08:02:46 | DEBUG    | mangabuff | Парсинг карты: Рю Сын Гон (ID: 79750)
2026-03-25 08:02:46 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Рю Сын Гон (0 желающих) после 3 проверок
2026-03-25 08:02:55 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=3 (норм: 0)
2026-03-25 08:02:55 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2407
2026-03-25 08:02:55 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 3, normalized: 0)
2026-03-25 08:02:55 | DEBUG    | mangabuff | Парсинг карты: Бонни (ID: 161828)
2026-03-25 08:02:55 | DEBUG    | mangabuff | Альтернатива обновлена: Бонни (44)
2026-03-25 08:02:56 | DEBUG    | mangabuff | Парсинг карты: Эини и Чед (ID: 26614)
2026-03-25 08:02:57 | DEBUG    | mangabuff | Карта Эини и Чед пропущена: 85 желающих
2026-03-25 08:02:58 | DEBUG    | mangabuff | Парсинг карты: Сакура Ямаути (ID: 212041)
2026-03-25 08:02:58 | DEBUG    | mangabuff | Альтернатива обновлена: Сакура Ямаути (34)
2026-03-25 08:02:58 | DEBUG    | mangabuff | Парсинг карты: Ирие Шоичи (ID: 138618)
2026-03-25 08:03:00 | DEBUG    | mangabuff | Карта Ирие Шоичи пропущена: 174 желающих
2026-03-25 08:03:00 | DEBUG    | mangabuff | Парсинг карты: Кентрайл и Мари (ID: 262171)
2026-03-25 08:03:00 | DEBUG    | mangabuff | Альтернатива обновлена: Кентрайл и Мари (8)
2026-03-25 08:03:01 | DEBUG    | mangabuff | Парсинг карты: Кайл (ID: 45125)
2026-03-25 08:03:01 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Кайл (1 желающих) после 6 проверок
2026-03-25 08:03:06 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=3 (норм: 0)
2026-03-25 08:03:06 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2401
2026-03-25 08:03:06 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 3, normalized: 0)
2026-03-25 08:03:07 | DEBUG    | mangabuff | Парсинг карты: Блэрия (ID: 158001)
2026-03-25 08:03:07 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Блэрия (1 желающих) после 1 проверок
2026-03-25 08:03:37 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=3 (норм: 0)
2026-03-25 08:03:37 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2400
2026-03-25 08:03:37 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 3, normalized: 0)
2026-03-25 08:03:37 | DEBUG    | mangabuff | Парсинг карты: Фердес (ID: 302374)
2026-03-25 08:03:38 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Фердес (2 желающих) после 1 проверок
2026-03-25 08:03:42 | INFO     | mangabuff | ⚡ Обнаружено прерывание: карта изменилась
2026-03-25 08:03:42 | INFO     | mangabuff | 🔄 Карта изменилась во время обработки!
2026-03-25 08:03:42 | INFO     | mangabuff | 📥 Загрузка новой карты после прерывания...
2026-03-25 08:03:42 | INFO     | mangabuff | Загрузка информации о буст-карте...
2026-03-25 08:03:44 | INFO     | mangabuff | Буст-карта загружена: Кэндис (ID: 23736)
2026-03-25 08:03:44 | INFO     | mangabuff | ПРОВЕРКА АВТОЗАМЕНЫ ПРИ ЗАГРУЗКЕ КАРТЫ
2026-03-25 08:03:44 | INFO     | mangabuff | Владельцев: 1494, Желающих: 2
2026-03-25 08:03:44 | DEBUG    | mangabuff | Буст-карта сохранена в boost_card.json
2026-03-25 08:03:44 | INFO     | mangabuff | 🚩 Сброс флагов прерывания...
2026-03-25 08:03:46 | INFO     | mangabuff | ======================================================================
2026-03-25 08:03:46 | INFO     | mangabuff | ПРОВЕРКА АВТОЗАМЕНЫ В ЦИКЛЕ
2026-03-25 08:03:46 | INFO     | mangabuff | Карта: Кэндис (ID: 23736)
2026-03-25 08:03:46 | INFO     | mangabuff | Обработка карты: Кэндис (ID: 23736)
2026-03-25 08:03:46 | INFO     | mangabuff | Начало обработки владельцев карты 23736
2026-03-25 08:03:47 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=2 (норм: 0)
2026-03-25 08:03:47 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2399
2026-03-25 08:03:47 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 2, normalized: 0)
2026-03-25 08:03:47 | DEBUG    | mangabuff | Парсинг карты: Эбигейл (ID: 259096)
2026-03-25 08:03:47 | DEBUG    | mangabuff | Альтернатива обновлена: Эбигейл (43)
2026-03-25 08:03:48 | DEBUG    | mangabuff | Парсинг карты: Арианель (ID: 127101)
2026-03-25 08:03:49 | DEBUG    | mangabuff | Карта Арианель пропущена: 128 желающих
2026-03-25 08:03:50 | DEBUG    | mangabuff | Парсинг карты: Дюллахан (ID: 105756)
2026-03-25 08:03:52 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Дюллахан (0 желающих) после 3 проверок
2026-03-25 08:03:54 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=2 (норм: 0)
2026-03-25 08:03:54 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2396
2026-03-25 08:03:54 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 2, normalized: 0)
2026-03-25 08:03:55 | DEBUG    | mangabuff | Парсинг карты: Кутака (ID: 113843)
2026-03-25 08:03:55 | DEBUG    | mangabuff | Альтернатива обновлена: Кутака (49)
2026-03-25 08:03:56 | DEBUG    | mangabuff | Парсинг карты: Гу Сянь (ID: 279466)
2026-03-25 08:03:56 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Гу Сянь (2 желающих) после 2 проверок
2026-03-25 08:04:05 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=2 (норм: 0)
2026-03-25 08:04:05 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2394
2026-03-25 08:04:05 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 2, normalized: 0)
2026-03-25 08:04:06 | DEBUG    | mangabuff | Парсинг карты: Чжан Ма (ID: 175302)
2026-03-25 08:04:06 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Чжан Ма (3 желающих) после 1 проверок
2026-03-25 08:04:17 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=2 (норм: 0)
2026-03-25 08:04:18 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2393
2026-03-25 08:04:18 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 2, normalized: 0)
2026-03-25 08:04:18 | DEBUG    | mangabuff | Парсинг карты: Гюнтер (ID: 14720)
2026-03-25 08:04:18 | DEBUG    | mangabuff | Альтернатива обновлена: Гюнтер (7)
2026-03-25 08:04:18 | DEBUG    | mangabuff | Парсинг карты: Сеша (ID: 33553)
2026-03-25 08:04:20 | DEBUG    | mangabuff | Карта Сеша пропущена: 195 желающих
2026-03-25 08:04:20 | DEBUG    | mangabuff | Парсинг карты: Чха Кёнвон (ID: 35345)
2026-03-25 08:04:20 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Чха Кёнвон (2 желающих) после 3 проверок
2026-03-25 08:04:45 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=2 (норм: 0)
2026-03-25 08:04:45 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2390
2026-03-25 08:04:45 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 2, normalized: 0)
2026-03-25 08:04:45 | DEBUG    | mangabuff | Парсинг карты: Георг Рикард (ID: 313199)
2026-03-25 08:04:46 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Георг Рикард (0 желающих) после 1 проверок
2026-03-25 08:04:53 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=2 (норм: 0)
2026-03-25 08:04:53 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2389
2026-03-25 08:04:53 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 2, normalized: 0)
2026-03-25 08:04:53 | DEBUG    | mangabuff | Парсинг карты: Эмиллиона и Макрон (ID: 47971)
2026-03-25 08:04:54 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Эмиллиона и Макрон (3 желающих) после 1 проверок
2026-03-25 08:05:04 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=2 (норм: 0)
2026-03-25 08:05:04 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2388
2026-03-25 08:05:04 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 2, normalized: 0)
2026-03-25 08:05:04 | DEBUG    | mangabuff | Парсинг карты: Цин Чень (ID: 21820)
2026-03-25 08:05:05 | DEBUG    | mangabuff | Альтернатива обновлена: Цин Чень (16)
2026-03-25 08:05:05 | DEBUG    | mangabuff | Парсинг карты: Руби (ID: 286506)
2026-03-25 08:05:05 | DEBUG    | mangabuff | Альтернатива обновлена: Руби (13)
2026-03-25 08:05:06 | DEBUG    | mangabuff | Парсинг карты: Касавиолла (ID: 136059)
2026-03-25 08:05:07 | DEBUG    | mangabuff | Парсинг карты: Исекайдзёчо (ID: 314142)
2026-03-25 08:05:09 | DEBUG    | mangabuff | Парсинг карты: Эмбер (ID: 146171)
2026-03-25 08:05:09 | DEBUG    | mangabuff | Сохранено 5 пропарсенных карт
2026-03-25 08:05:10 | DEBUG    | mangabuff | Парсинг карты: Ким Чи Мин (ID: 57528)
2026-03-25 08:05:10 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Ким Чи Мин (0 желающих) после 6 проверок
2026-03-25 08:05:17 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=2 (норм: 0)
2026-03-25 08:05:17 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2382
2026-03-25 08:05:17 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 2, normalized: 0)
2026-03-25 08:05:17 | DEBUG    | mangabuff | Парсинг карты: Хан Сын У (ID: 279425)
2026-03-25 08:05:17 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Хан Сын У (1 желающих) после 1 проверок
2026-03-25 08:05:27 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=2 (норм: 0)
2026-03-25 08:05:27 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2381
2026-03-25 08:05:27 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 2, normalized: 0)
2026-03-25 08:05:28 | DEBUG    | mangabuff | Парсинг карты: Такэда и Игараши (ID: 179262)
2026-03-25 08:05:28 | DEBUG    | mangabuff | Альтернатива обновлена: Такэда и Игараши (21)
2026-03-25 08:05:28 | DEBUG    | mangabuff | Парсинг карты: Бланш (ID: 91489)
2026-03-25 08:05:29 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Бланш (3 желающих) после 2 проверок
2026-03-25 08:05:39 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=2 (норм: 0)
2026-03-25 08:05:39 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2379
2026-03-25 08:05:39 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 2, normalized: 0)
2026-03-25 08:05:39 | DEBUG    | mangabuff | Парсинг карты: А Ён (ID: 21230)
2026-03-25 08:05:50 | DEBUG    | mangabuff | Альтернатива обновлена: А Ён (51)
2026-03-25 08:05:51 | DEBUG    | mangabuff | Парсинг карты: Аматэрасу (ID: 234291)
